GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
00704	12627766	1773833	4.876	0.685	17.96577	-66.219555
00705	82748309	72304	31.949	0.028	18.128961	-66.266683
00707	54561539	3816672	21.066	1.474	18.014055	-65.920751
00714	37863486	42739	14.619	0.017	18.003025	-66.046237
00715	20381738	150234	7.869	0.058	18.011233	-66.560065
00716	22174335	7917756	8.562	3.057	17.991269	-66.606774
00717	5443502	77761	2.102	0.03	18.003222	-66.614037
00718	117171778	3457282	45.24	1.335	18.231988	-65.759623
00719	72527847	898339	28.003	0.347	18.289927	-66.25344
00720	154382625	286519	59.607	0.111	18.217946	-66.428076
00723	119553976	1319679	46.16	0.51	18.043498	-66.015479
00725	109358406	1174731	42.224	0.454	18.218819	-66.042375
00727	55676836	26958	21.497	0.01	18.215308	-66.073565
00728	40524728	21618806	15.647	8.347	17.989853	-66.664116
00729	87958822	364681	33.961	0.141	18.323585	-65.883206
00730	16873937	108086	6.515	0.042	18.030831	-66.616838
00731	123629346	2783085	47.734	1.075	18.109947	-66.635622
00735	60368950	1842361	23.309	0.711	18.252603	-65.682494
00736	142702105	78607	55.098	0.03	18.103624	-66.151667
00738	76345227	78611066	29.477	30.352	18.308717	-65.738915
00739	81792975	1113760	31.58	0.43	18.177233	-66.160645
00740	1103420	40886	0.426	0.016	18.331178	-65.634104
00741	6121388	2792488	2.363	1.078	18.163855	-65.754042
00745	133673062	6158136	51.611	2.378	18.352216	-65.817387
00751	121636224	29372082	46.964	11.341	18.001317	-66.252183
00754	132164375	241723	51.029	0.093	18.147107	-65.976167
00757	77265966	5590793	29.833	2.159	17.995441	-66.391334
00765	49309590	1749401	19.039	0.675	18.130096	-65.439369
00766	103701681	3739017	40.039	1.444	18.133196	-66.476916
00767	143501372	6804952	55.406	2.627	18.069489	-65.896161
00769	198169777	37652	76.514	0.015	18.1038	-66.357586
00771	87591124	32509	33.819	0.013	18.187148	-65.871189
00772	37904340	13703591	14.635	5.291	18.438968	-65.905168
00773	62966802	2572548	24.312	0.993	18.342888	-65.723109
00775	27354047	33428554	10.561	12.907	18.326599	-65.30772
00777	68844364	327694	26.581	0.127	18.224133	-65.908542
00778	76776790	1115818	29.644	0.431	18.264076	-65.97851
00780	52112380	777901	20.121	0.3	18.102834	-66.568105
00782	69008752	319738	26.644	0.123	18.225708	-66.221633
00783	108367775	16284	41.841	0.006	18.30391	-66.326179
00784	143875300	16278592	55.551	6.285	18.010714	-66.133615
00786	666251	0	0.257	0.	18.155424	-66.229907
00791	95737500	2852902	36.964	1.102	18.136782	-65.821476
00794	91419778	77812	35.297	0.03	18.198955	-66.309833
00795	119806321	958175	46.257	0.37	18.060494	-66.500624
00801	2875853	1354	1.11	0.001	18.349871	-64.974016
00802	71671841	8928395	27.673	3.447	18.340709	-64.923329
00820	78982024	3075492	30.495	1.187	17.7431	-64.686556
00823	1035362	0	0.4	0.	17.723548	-64.745932
00824	57053	0	0.022	0.	17.744557	-64.682933
00830	50003826	374670	19.307	0.145	18.338559	-64.73653
00831	119891	0	0.046	0.	18.327294	-64.78672
00840	48724800	22578	18.813	0.009	17.678145	-64.902355
00841	6600893	632642	2.549	0.244	17.758634	-64.817451
00850	60060282	3028705	23.189	1.169	17.745949	-64.80055
00851	19685283	71124	7.601	0.027	17.732228	-64.77076
00901	2535590	30548	0.979	0.012	18.465369	-66.104613
00906	8247	0	0.003	0.	18.46446	-66.094995
00907	3118632	347421	1.204	0.134	18.452553	-66.077838
00909	1580961	49304	0.61	0.019	18.44161	-66.067132
00911	1232508	0	0.476	0.	18.451159	-66.056199
00912	862970	0	0.333	0.	18.445334	-66.060139
00913	834840	0	0.322	0.	18.450002	-66.042656
00915	3616961	813349	1.397	0.314	18.437179	-66.045571
00917	3360010	46991	1.297	0.018	18.420674	-66.050105
00918	5516959	101168	2.13	0.039	18.421022	-66.065789
00920	7363192	106880	2.843	0.041	18.414292	-66.088042
00921	6925339	0	2.674	0.	18.392292	-66.088528
00923	5285548	7301	2.041	0.003	18.409307	-66.038888
00924	12146991	1369	4.69	0.001	18.399192	-66.012453
00925	1158082	0	0.447	0.	18.400296	-66.050602
00926	62578786	1047991	24.162	0.405	18.3454	-66.051545
00927	6803686	5830	2.627	0.002	18.388011	-66.072089
00934	1940428	26786	0.749	0.01	18.411313	-66.124234
00936	417954	0	0.161	0.	18.395463	-66.073772
00949	45535083	2112065	17.581	0.815	18.430696	-66.212833
00950	6204979	1989343	2.396	0.768	18.459699	-66.233101
00951	1075640	29541	0.415	0.011	18.42753	-66.253789
00952	3204976	0	1.237	0.	18.427448	-66.182026
00953	69143779	1364965	26.697	0.527	18.360729	-66.251527
00956	68564539	215367	26.473	0.083	18.321137	-66.170419
00957	11967746	1407	4.621	0.001	18.368414	-66.187693
00959	16618004	81792	6.416	0.032	18.385785	-66.155654
00960	2366331	2485	0.914	0.001	18.416747	-66.144485
00961	13404389	168929	5.175	0.065	18.413307	-66.164683
00962	9888762	1121474	3.818	0.433	18.444614	-66.148819
00965	1746399	328905	0.674	0.127	18.433757	-66.114752
00966	8339816	4490	3.22	0.002	18.401521	-66.117597
00968	1185643	0	0.458	0.	18.406085	-66.101232
00969	12648268	39798	4.884	0.015	18.368062	-66.108062
00971	41342975	94183	15.963	0.036	18.318884	-66.11919
00976	43351334	735152	16.738	0.284	18.33618	-65.994101
00979	4047189	504454	1.563	0.195	18.444394	-66.030036
00982	3672331	19112	1.418	0.007	18.411261	-65.992045
00983	8964405	616660	3.461	0.238	18.417816	-65.975819
00985	21068679	747164	8.135	0.288	18.410774	-65.947927
00987	64350355	422661	24.846	0.163	18.338161	-65.941083
01001	29797204	2118827	11.505	0.818	42.062368	-72.625754
01002	142617852	4276645	55.065	1.651	42.36406	-72.458741
01003	1842387	12788	0.711	0.005	42.389698	-72.524009
01005	114637907	666424	44.262	0.257	42.418848	-72.106598
01007	136236049	6944239	52.601	2.681	42.27901	-72.400468
01008	139346414	5108939	53.802	1.973	42.190191	-72.954263
01009	2104351	0	0.812	0.	42.209669	-72.339743
01010	90060192	1415647	34.772	0.547	42.128176	-72.205352
01011	81830551	342669	31.595	0.132	42.300281	-72.968716
01012	33971460	543537	13.116	0.21	42.375425	-72.858192
01013	14567299	1731913	5.624	0.669	42.154904	-72.602804
01020	32299110	1170576	12.471	0.452	42.172602	-72.562073
01022	12340434	2118	4.765	0.001	42.197741	-72.542713
01026	62173901	332330	24.005	0.128	42.465495	-72.918267
01027	104893841	1205216	40.5	0.465	42.295008	-72.751877
01028	33504712	181924	12.936	0.07	42.062378	-72.498111
01029	41050306	5314948	15.85	2.052	42.193395	-73.044647
01030	30650433	445490	11.834	0.172	42.072925	-72.686972
01031	21012723	0	8.113	0.	42.32938	-72.198156
01032	30467674	887485	11.764	0.343	42.457613	-72.81478
01033	72039174	666977	27.814	0.258	42.244949	-72.500143
01034	185541250	5090992	71.638	1.966	42.093912	-72.961103
01035	59785001	3940203	23.083	1.521	42.356491	-72.568632
01036	50452198	89778	19.48	0.035	42.071188	-72.417718
01037	36534058	3961965	14.106	1.53	42.372728	-72.195412
01038	25871792	2247127	9.989	0.868	42.385496	-72.606929
01039	34227578	599161	13.215	0.231	42.404287	-72.688924
01040	55069485	4074018	21.262	1.573	42.211656	-72.642448
01050	99264985	2581165	38.326	0.997	42.286762	-72.869695
01053	13289902	251887	5.131	0.097	42.356301	-72.713584
01054	59027067	425597	22.79	0.164	42.468898	-72.484579
01056	70461231	2938128	27.205	1.134	42.183577	-72.457812
01057	116445834	1476587	44.96	0.57	42.093596	-72.321494
01060	28292827	3250681	10.924	1.255	42.321488	-72.630588
01062	47016498	396837	18.153	0.153	42.323033	-72.701789
01063	100502	0	0.039	0.	42.318882	-72.63853
01066	1842125	117510	0.711	0.045	42.406909	-72.655015
01068	53925827	1033076	20.821	0.399	42.350862	-72.044248
01069	72720237	751921	28.077	0.29	42.188862	-72.30648
01070	53343558	596478	20.596	0.23	42.518446	-72.919017
01071	40311508	814201	15.564	0.314	42.160064	-72.87384
01072	51988078	1360921	20.073	0.525	42.456968	-72.417244
01073	72914120	2084351	28.152	0.805	42.226949	-72.741588
01074	220751	52379	0.085	0.02	42.387603	-72.09323
01075	45886333	1773572	17.717	0.685	42.256208	-72.58103
01077	79829512	2141671	30.822	0.827	42.05257	-72.777353
01079	2928117	101938	1.131	0.039	42.194344	-72.328868
01080	4472228	256694	1.727	0.099	42.185727	-72.361558
01081	37594969	564877	14.515	0.218	42.061313	-72.234411
01082	119451476	16197982	46.12	6.254	42.293533	-72.278599
01083	40799098	156565	15.753	0.06	42.203642	-72.194599
01084	23799816	221546	9.189	0.086	42.39237	-72.882235
01085	154634290	2962351	59.705	1.144	42.153503	-72.771602
01086	96152	0	0.037	0.	42.130446	-72.793967
01088	13457389	36980	5.196	0.014	42.391709	-72.646494
01089	43321909	2076137	16.727	0.802	42.125451	-72.649734
01092	17375639	80681	6.709	0.031	42.191868	-72.235108
01093	13060370	16677	5.043	0.006	42.441943	-72.661817
01094	2957301	172820	1.142	0.067	42.359108	-72.1368
01095	58261400	746635	22.495	0.288	42.138499	-72.420715
01096	82011336	533919	31.665	0.206	42.397138	-72.763554
01097	4852535	208842	1.874	0.081	42.178038	-72.832612
01098	81230325	385282	31.363	0.149	42.394315	-72.943115
01103	1191846	205067	0.46	0.079	42.104106	-72.592027
01104	13509672	212850	5.216	0.082	42.134009	-72.565378
01105	3219039	306963	1.243	0.119	42.099958	-72.580765
01106	24016632	1344937	9.273	0.519	42.047565	-72.57113
01107	3903488	89142	1.507	0.034	42.12106	-72.607068
01108	9648043	406406	3.725	0.157	42.080692	-72.560791
01109	14094962	487888	5.442	0.188	42.119674	-72.549726
01118	9312234	260881	3.595	0.101	42.094194	-72.525081
01119	9194299	241735	3.55	0.093	42.124978	-72.51121
01128	2887382	1287	1.115	0.	42.092296	-72.489135
01129	8875270	237886	3.427	0.092	42.118671	-72.488203
01151	6135193	479252	2.369	0.185	42.15186	-72.509131
01199	28277	0	0.011	0.	42.120563	-72.604468
01201	137100028	6754457	52.935	2.608	42.448236	-73.273727
01220	63690793	189771	24.591	0.073	42.623799	-73.116736
01222	8566364	332862	3.307	0.129	42.058703	-73.322175
01223	180705971	5297500	69.771	2.045	42.312225	-73.110124
01224	720507	82246	0.278	0.032	42.513163	-73.195743
01225	65032902	1827513	25.109	0.706	42.563401	-73.153335
01226	68283556	366482	26.364	0.141	42.481119	-73.135073
01229	1897309	1745	0.733	0.001	42.276338	-73.335896
01230	237030361	4523580	91.518	1.747	42.173195	-73.32429
01235	118234582	2794600	45.651	1.079	42.425677	-73.063028
01236	12442176	157973	4.804	0.061	42.266496	-73.378393
01237	160145850	1132956	61.833	0.437	42.547818	-73.268033
01238	90221001	2706102	34.835	1.045	42.297501	-73.230148
01240	55363291	1159119	21.376	0.448	42.367858	-73.269763
01242	1289553	25165	0.498	0.01	42.333734	-73.249199
01243	48260334	57174	18.633	0.022	42.350122	-73.024112
01244	6345196	70886	2.45	0.027	42.118094	-73.257497
01245	72481256	2048210	27.985	0.791	42.186893	-73.223105
01247	136067563	1474691	52.536	0.569	42.698526	-73.0843
01253	47370578	1047605	18.29	0.404	42.206683	-73.113214
01254	37764321	148218	14.581	0.057	42.382019	-73.365492
01255	134222455	2914729	51.824	1.125	42.107496	-73.118607
01256	92878793	452282	35.861	0.175	42.594166	-73.02232
01257	93810157	2222467	36.22	0.858	42.085244	-73.367483
01258	66892284	399783	25.827	0.154	42.10928	-73.462886
01259	65561659	2041637	25.313	0.788	42.075469	-73.234376
01260	6503634	101867	2.511	0.039	42.295696	-73.342543
01262	31175833	2127512	12.037	0.821	42.292202	-73.319209
01264	29375249	90081	11.342	0.035	42.23159	-73.202428
01266	67478485	780826	26.054	0.301	42.312354	-73.388044
01267	141208669	342264	54.521	0.132	42.671617	-73.246981
01270	82502023	420999	31.854	0.163	42.515272	-73.031166
01301	66034130	1397303	25.496	0.54	42.626761	-72.60153
01330	86289951	631865	33.317	0.244	42.513947	-72.821517
01331	137853123	3588216	53.225	1.385	42.562408	-72.19108
01337	96461580	158967	37.244	0.061	42.689308	-72.582249
01338	8939561	12299	3.452	0.005	42.572604	-72.824306
01339	142261831	627962	54.928	0.242	42.603776	-72.889644
01340	113408743	665699	43.787	0.257	42.694731	-72.710956
01341	92494679	446652	35.712	0.172	42.496937	-72.709414
01342	46225730	2181543	17.848	0.842	42.543889	-72.609458
01343	12606820	94167	4.868	0.036	42.657625	-72.978933
01344	35252177	1378696	13.611	0.532	42.613418	-72.426428
01346	55312655	95459	21.356	0.037	42.693268	-72.823116
01347	1497726	221070	0.578	0.085	42.559294	-72.518753
01349	19913665	548465	7.689	0.212	42.563061	-72.482115
01350	27739754	290998	10.71	0.112	42.727772	-72.985346
01351	54184370	1126535	20.921	0.435	42.53988	-72.521689
01354	35664112	2664234	13.77	1.029	42.624101	-72.508607
01355	122669023	35757840	47.363	13.806	42.458551	-72.327191
01360	88740952	2814933	34.263	1.087	42.677091	-72.453876
01364	101615809	2843803	39.234	1.098	42.605437	-72.292074
01366	104578990	1454150	40.378	0.561	42.475621	-72.192468
01367	68716295	1772428	26.532	0.684	42.695532	-72.909148
01368	108362244	1836500	41.839	0.709	42.679456	-72.176935
01370	129008495	1466298	49.81	0.566	42.593376	-72.726927
01373	62597988	1469902	24.169	0.568	42.475481	-72.615403
01375	36831455	1348186	14.221	0.521	42.466691	-72.546751
01376	7142833	1472747	2.758	0.569	42.59528	-72.555002
01378	88126714	814990	34.026	0.315	42.673533	-72.353213
01379	78225279	969191	30.203	0.374	42.55631	-72.407148
01420	78529495	1773646	30.32	0.685	42.584925	-71.816862
01430	95694905	6792336	36.948	2.623	42.657005	-71.923442
01431	61290097	1000255	23.664	0.386	42.676293	-71.832523
01432	21910115	1240734	8.46	0.479	42.564663	-71.567298
01434	13669084	401234	5.278	0.155	42.538903	-71.612027
01436	24837851	512349	9.59	0.198	42.602059	-72.087015
01438	1403966	48433	0.542	0.019	42.562243	-72.031402
01440	62245175	2514727	24.033	0.971	42.588337	-71.986069
01450	84887942	2590936	32.775	1.	42.61176	-71.565269
01451	49574292	1669980	19.141	0.645	42.501908	-71.568201
01452	106327332	2406515	41.053	0.929	42.489598	-72.002878
01453	73761032	1356772	28.479	0.524	42.519967	-71.763319
01460	42773951	2574959	16.515	0.994	42.535931	-71.490569
01462	68442649	3418284	26.426	1.32	42.582607	-71.720464
01463	58471591	1548500	22.576	0.598	42.670643	-71.602858
01464	38804944	201617	14.983	0.078	42.573654	-71.640986
01467	4891512	38884	1.889	0.015	42.489646	-71.609577
01468	55435947	697085	21.404	0.269	42.542767	-72.068345
01469	58987947	606711	22.775	0.234	42.664828	-71.695087
01473	91788815	4700075	35.44	1.815	42.5546	-71.90544
01474	25720066	78185	9.931	0.03	42.669685	-71.752751
01475	110974737	2713725	42.848	1.048	42.66816	-72.055644
01501	40042740	2404899	15.461	0.929	42.198708	-71.846006
01503	33599590	524072	12.973	0.202	42.384929	-71.633889
01504	28774220	825565	11.11	0.319	42.039991	-71.532406
01505	41586648	9557756	16.057	3.69	42.355049	-71.716157
01506	40216388	2734658	15.528	1.056	42.180788	-72.107891
01507	109244211	4178897	42.179	1.613	42.133935	-71.968025
01510	14642352	4176666	5.653	1.613	42.411887	-71.690005
01515	25570219	1427831	9.873	0.551	42.209682	-72.040178
01516	95233279	4020460	36.77	1.552	42.053072	-71.752241
01518	23006295	1928708	8.883	0.745	42.127477	-72.118818
01519	28262682	279339	10.912	0.108	42.203404	-71.679739
01520	46830019	1794650	18.081	0.693	42.336372	-71.850626
01521	31821357	1990946	12.286	0.769	42.046813	-72.180135
01522	42423772	1400937	16.38	0.541	42.375634	-71.867382
01523	65266074	1166195	25.199	0.45	42.483569	-71.675585
01524	41390162	2494186	15.981	0.963	42.249603	-71.919217
01525	1162429	81163	0.449	0.031	42.106794	-71.630518
01527	40346711	1861968	15.578	0.719	42.192246	-71.777649
01529	12596928	143331	4.864	0.055	42.036642	-71.578779
01531	53773245	403234	20.762	0.156	42.319125	-72.130814
01532	47840780	705398	18.471	0.272	42.323342	-71.646236
01534	22683896	325551	8.758	0.126	42.142074	-71.643348
01535	55084355	1754940	21.268	0.678	42.267564	-72.066876
01536	21589160	748441	8.336	0.289	42.231309	-71.692642
01537	18084549	295746	6.982	0.114	42.158966	-71.897051
01540	50104202	2048499	19.345	0.791	42.116263	-71.857465
01541	91769490	1032231	35.432	0.399	42.454125	-71.87754
01542	10428067	422663	4.026	0.163	42.204251	-71.908907
01543	90948948	2972529	35.116	1.148	42.388285	-71.969865
01545	53731552	2717798	20.746	1.049	42.284767	-71.714228
01550	52418639	1611501	20.239	0.622	42.059737	-72.033908
01560	9235407	270460	3.566	0.104	42.175395	-71.674223
01561	319275	0	0.123	0.	42.44397	-71.685583
01562	85035834	3053864	32.833	1.179	42.247211	-71.991867
01564	79294039	2752967	30.616	1.063	42.447924	-71.776045
01566	73421232	2569631	28.348	0.992	42.103214	-72.079545
01568	55570155	610353	21.456	0.236	42.176526	-71.603588
01569	75310393	1580615	29.078	0.61	42.05593	-71.631232
01570	32005192	5800852	12.357	2.24	42.047532	-71.846952
01571	53953608	2745002	20.832	1.06	42.053778	-71.935075
01581	53357574	2228806	20.601	0.861	42.268426	-71.613309
01583	32682786	2354742	12.619	0.909	42.369417	-71.785036
01585	66168212	1669172	25.548	0.644	42.240796	-72.162645
01588	22296364	1649002	8.609	0.637	42.118794	-71.672494
01590	82919847	4173702	32.016	1.611	42.132051	-71.750318
01602	14933023	631589	5.766	0.244	42.269189	-71.850728
01603	11692457	340394	4.514	0.131	42.243826	-71.843569
01604	16674556	476608	6.438	0.184	42.253254	-71.767957
01605	14613491	341305	5.642	0.132	42.289683	-71.787793
01606	15353873	24032	5.928	0.009	42.315249	-71.795741
01607	8187237	136952	3.161	0.053	42.225974	-71.788894
01608	1159107	0	0.448	0.	42.26198	-71.801462
01609	9893463	56961	3.82	0.022	42.285114	-71.829987
01610	5505967	9032	2.126	0.003	42.247049	-71.808366
01611	8914393	647960	3.442	0.25	42.237604	-71.875838
01612	39662274	1981212	15.314	0.765	42.296798	-71.928991
01701	43947040	1816965	16.968	0.702	42.319587	-71.4428
01702	20951465	1972408	8.089	0.762	42.282379	-71.436621
01718	121367	0	0.047	0.	42.519816	-71.429283
01719	26638827	317227	10.285	0.122	42.485985	-71.520985
01720	51058853	1114408	19.714	0.43	42.483953	-71.438495
01721	31948334	1395751	12.335	0.539	42.257755	-71.473526
01730	35485224	462663	13.701	0.179	42.499295	-71.281889
01731	2051821	0	0.792	0.	42.456754	-71.279477
01740	51653594	348725	19.944	0.135	42.439941	-71.601879
01741	39560420	641489	15.274	0.248	42.53662	-71.361832
01742	63287949	3359581	24.436	1.297	42.462911	-71.364496
01745	1033539	3023	0.399	0.001	42.292114	-71.499197
01746	48280516	1067774	18.641	0.412	42.195951	-71.45343
01747	13403501	438658	5.175	0.169	42.123007	-71.531404
01748	67924465	4218835	26.226	1.629	42.224096	-71.540489
01749	29843256	888431	11.523	0.343	42.389071	-71.545864
01752	54039298	3201505	20.865	1.236	42.349617	-71.547214
01754	13487658	407087	5.208	0.157	42.425955	-71.456256
01756	46029786	552531	17.772	0.213	42.09387	-71.544519
01757	38578113	706013	14.895	0.273	42.158692	-71.521419
01760	38367783	2596509	14.814	1.003	42.284822	-71.348811
01770	40897127	957827	15.79	0.37	42.231947	-71.372963
01772	35233798	3917459	13.604	1.513	42.302877	-71.530828
01773	35277802	2009140	13.621	0.776	42.425506	-71.310812
01775	44856759	1752517	17.319	0.677	42.429688	-71.512514
01776	62784347	1256070	24.241	0.485	42.383367	-71.42107
01778	39390192	2068791	15.209	0.799	42.356275	-71.361942
01801	32765549	802750	12.651	0.31	42.488769	-71.154438
01803	30301535	323480	11.699	0.125	42.503227	-71.201713
01810	79843645	3436401	30.828	1.327	42.648044	-71.161751
01821	42906792	1018583	16.566	0.393	42.54933	-71.251725
01824	45973425	1007606	17.75	0.389	42.59079	-71.355182
01826	53528320	1714783	20.667	0.662	42.679723	-71.30068
01827	42608633	783541	16.451	0.303	42.676149	-71.499772
01830	35802325	3346022	13.823	1.292	42.796313	-71.053436
01832	29527380	1251737	11.401	0.483	42.791114	-71.132859
01833	33301966	750836	12.858	0.29	42.726188	-70.983328
01834	23000422	1337626	8.881	0.516	42.7539	-71.015935
01835	20231060	2291968	7.811	0.885	42.751233	-71.0943
01840	1290418	200629	0.498	0.077	42.706763	-71.160403
01841	7998544	464106	3.088	0.179	42.712015	-71.164873
01843	8733380	630617	3.372	0.243	42.689974	-71.160383
01844	57523295	2026687	22.21	0.783	42.742526	-71.179149
01845	68071736	3711232	26.283	1.433	42.673909	-71.091334
01850	3521441	305903	1.36	0.118	42.656045	-71.303309
01851	8648794	116111	3.339	0.045	42.627812	-71.33533
01852	12830680	627317	4.954	0.242	42.632972	-71.295613
01854	10190205	1393282	3.934	0.538	42.649481	-71.348229
01860	22002287	1031929	8.495	0.398	42.838603	-71.011997
01862	23932088	1076076	9.24	0.415	42.578543	-71.295592
01863	11964688	841576	4.62	0.325	42.63378	-71.38947
01864	34018344	942984	13.135	0.364	42.578222	-71.084398
01867	25783297	37035	9.955	0.014	42.535183	-71.105423
01876	52994457	933248	20.461	0.36	42.611801	-71.227571
01879	43521843	3642315	16.804	1.406	42.667762	-71.42882
01880	17894085	1396459	6.909	0.539	42.501524	-71.067489
01886	78334902	2896637	30.245	1.118	42.585541	-71.44025
01887	43964358	469152	16.975	0.181	42.564647	-71.164516
01890	15629758	811600	6.035	0.313	42.452752	-71.144319
01901	641319	68752	0.248	0.027	42.460419	-70.946379
01902	6223953	235927	2.403	0.091	42.471039	-70.941535
01904	11712243	1303818	4.522	0.503	42.492456	-70.97393
01905	9215126	1194005	3.558	0.461	42.465998	-70.975792
01906	27966373	2599523	10.798	1.004	42.468432	-71.013946
01907	7860398	1107034	3.035	0.427	42.474145	-70.906597
01908	2708895	3558667	1.046	1.374	42.428256	-70.926041
01913	31782255	3783180	12.271	1.461	42.851293	-70.95581
01915	39081916	3958466	15.09	1.528	42.570665	-70.867583
01921	60991474	2202473	23.549	0.85	42.683108	-71.01833
01922	24845066	774070	9.593	0.299	42.757313	-70.914241
01923	34173651	2374949	13.195	0.917	42.574174	-70.950516
01929	36167008	5379258	13.964	2.077	42.64042	-70.771172
01930	67853272	13990373	26.198	5.402	42.61991	-70.681824
01937	189212	0	0.073	0.	42.585723	-70.984051
01938	78799875	13687573	30.425	5.285	42.68386	-70.842666
01940	27313916	1711220	10.546	0.661	42.534146	-71.038333
01944	23899472	3211684	9.228	1.24	42.576636	-70.767154
01945	11353796	8806283	4.384	3.4	42.501021	-70.858841
01949	34821765	2702320	13.445	1.043	42.606666	-71.010316
01950	21625346	5972793	8.35	2.306	42.812358	-70.891095
01951	35658682	6837541	13.768	2.64	42.773351	-70.850211
01952	39817692	6263855	15.374	2.418	42.844794	-70.841499
01960	41467196	1461552	16.011	0.564	42.534279	-70.969782
01966	18108068	4166180	6.992	1.609	42.640715	-70.620248
01969	45297604	4371212	17.49	1.688	42.720873	-70.89122
01970	21008348	14198303	8.111	5.482	42.524435	-70.870859
01982	36720108	1913528	14.178	0.739	42.626223	-70.85723
01983	30835730	2343650	11.906	0.905	42.641379	-70.94344
01984	19837004	1248262	7.659	0.482	42.600633	-70.883303
01985	34828193	3308943	13.447	1.278	42.799565	-70.964428
02019	47511671	1427981	18.344	0.551	42.076682	-71.47449
02021	48657831	2116781	18.787	0.817	42.175737	-71.125385
02025	25346343	2758669	9.786	1.065	42.236444	-70.814309
02026	26522883	1061991	10.241	0.41	42.246872	-71.179462
02030	39155536	824634	15.118	0.318	42.23416	-71.291167
02032	6057759	155224	2.339	0.06	42.156882	-71.216187
02035	51406734	2593382	19.848	1.001	42.061338	-71.245802
02038	68989529	1014471	26.637	0.392	42.084858	-71.410571
02043	57442010	2272033	22.178	0.877	42.216098	-70.88127
02045	6894503	14225172	2.662	5.492	42.292253	-70.923919
02047	619345	21837	0.239	0.008	42.133914	-70.686037
02048	52060526	830936	20.101	0.321	42.017302	-71.21641
02050	75322269	10899223	29.082	4.208	42.115139	-70.710331
02052	37304674	607719	14.403	0.235	42.184599	-71.305307
02053	29900279	344079	11.545	0.133	42.156203	-71.430345
02054	31170651	604210	12.035	0.233	42.173103	-71.363756
02056	38500655	1289284	14.865	0.498	42.113664	-71.337555
02061	54245117	845446	20.944	0.326	42.164569	-70.818844
02062	26822291	427715	10.356	0.165	42.187364	-71.195971
02066	43852604	5682764	16.932	2.194	42.202273	-70.758184
02067	58731261	2469581	22.676	0.954	42.1076	-71.181828
02071	2513323	33448	0.97	0.013	42.103425	-71.273589
02072	41668554	969178	16.088	0.374	42.119006	-71.10365
02081	46411767	1426132	17.92	0.551	42.14669	-71.270532
02090	28220344	750982	10.896	0.29	42.219645	-71.216768
02093	56219578	2341419	21.707	0.904	42.052671	-71.356858
